X,Y,Z,N,E,Z2,Latitude,Longitude,Time,Speed,Course,Accuracy
-0.00977,0.00352,-0.91035,0.02652,-0.20266,-0.88717,51.2381395697594,22.4971638154238,"2015-03-31 12:26:14,563",0,0,0
0.04883,0.025,-1.04609,-0.00645,-0.18461,-1.03111,51.2381395697594,22.4971638154238,"2015-03-31 12:26:14,663",0,0,0
0.01563,0.04551,-0.99238,-0.01428,-0.2105,-0.97089,51.2381395697594,22.4971638154238,"2015-03-31 12:26:14,765",0,0,0
0.03711,0.10313,-1.03633,-0.07499,-0.21596,-1.01672,51.2381395697594,22.4971638154238,"2015-03-31 12:26:14,867",0,0,0
0.06641,0.27207,-1.04512,-0.23843,-0.22338,-1.03148,51.2381395697594,22.4971638154238,"2015-03-31 12:26:14,966",0,0,0
0.03711,0.08164,-1.09785,-0.03406,-0.22432,-1.07789,51.2381395697594,22.4971638154238,"2015-03-31 12:26:15,066",0,0,0
-0.01074,0.10898,-0.96992,-0.05441,-0.24549,-0.94314,51.2381395697594,22.4971638154238,"2015-03-31 12:26:15,167",0,0,0
0.05664,0.16758,-1.0041,-0.11566,-0.1935,-0.99433,51.2381395697594,22.4971638154238,"2015-03-31 12:26:15,267",0,0,0
-0.00488,0.10996,-1.12129,-0.03925,-0.27061,-1.09299,51.2381395697594,22.4971638154238,"2015-03-31 12:26:15,367",0,0,0
0.02539,0.15879,-1.07637,-0.09138,-0.23459,-1.05879,51.2382208742201,22.4973540008068,"2015-03-31 12:26:15,464",0,0,0
-0.03516,0.10801,-1.20527,-0.02899,-0.31766,-1.16783,51.2382208742201,22.4973540008068,"2015-03-31 12:26:15,57",0,0,0
-0.00488,0.13438,-1.06855,-0.06947,-0.25787,-1.04334,51.2382208742201,22.4973540008068,"2015-03-31 12:26:15,67",0,0,0
-0.00781,0.11484,-1.1125,-0.04285,-0.27004,-1.0845,51.2382208742201,22.4973540008068,"2015-03-31 12:26:15,769",0,0,0
-0.03613,0.04355,-0.96016,0.02214,-0.2631,-0.92487,51.2382208742201,22.4973540008068,"2015-03-31 12:26:15,87",0,0,0
-0.07422,0.10508,-0.84199,-0.04571,-0.27086,-0.80625,51.2382208742201,22.4973540008068,"2015-03-31 12:26:15,97",0,0,0
0.08789,0.06992,-0.71504,-0.01259,-0.08889,-0.71822,51.2382208742201,22.4973540008068,"2015-03-31 12:26:16,065",0,0,0
